id,tokens,time_consumed_millis,memory_consumed_bytes
252702454,"#,include,<,bits/stdc++.h,>,using,namespace,std,;,typedef,long,long,ll,;,const,int,N,=,2,*,1e5,+,10,;,int,t,,,n,;, ,ll,a,[,N,],;,int,pre,[,N,],;,void,solve,(,),{,cin,>>,n,;,set,<,int,>,s,;,for,(,int,i,=,1,;,i,<=,n,;,i,++,),{,cin,>>,a,[,i,],;,s,.,insert,(,a,[,i,],),;,},int,i,=,1,;,while,(,!,s,.,empty,(,),),{,int,k,=,*,(,s,.,begin,(,),),;,a,[,i,++,],=,k,;,s,.,erase,(,k,),;,},i,--,;,int,l,,,r,;,l,=,r,=,1,;,int,ma,=,0,;,for,(,;,l,<=,i,;,l,++,),{,while,(,a,[,r,],-,a,[,l,],<,n,&&,r,<=,i,),{,r,++,;,},pre,[,l,],=,r,-,l,;,ma,=,max,(,ma,,,pre,[,l,],),;,},cout,<<,ma,<<,',\n,',;,}, ,int,main,(,),{,ios,::,sync_with_stdio,(,false,),;,cin,.,tie,(,0,),;,cout,.,tie,(,0,),;,cin,>>,t,;,while,(,t,--,),{,solve,(,),;,},return,0,;,}",140,9011200
251400740,"#,include,<,bits/stdc++.h,>,using,namespace,std,;,int,main,(,),{,int,t,;,cin,>>,t,;,while,(,t,--,),{,int,n,;,cin,>>,n,;,vector,<,long,long,>,v,;,set,<,long,long,>,st,;,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,long,long,x,;,cin,>>,x,;,st,.,insert,(,x,),;,},for,(,auto,it,:,st,),{,v,.,push_back,(,it,),;,},long,long,ans,=,0,;,for,(,int,i,=,0,;,i,<,v,.,size,(,),;,i,++,),{,int,x,=,v,[,i,],;,auto,it,=,lower_bound,(,v,.,begin,(,),,,v,.,end,(,),,,x,+,n,),;,long,long,d,=,it,-,v,.,begin,(,),-,i,;,ans,=,max,(,ans,,,d,),;,},cout,<<,ans,<<,endl,;,},}",436,10240000
252051294,"#,include,<,bits/stdc++.h,>,#,define,F,first,#,define,S,second,#,define,endl,',\n,',#,define,IOS,ios,::,sync_with_stdio,(,false,),,,cin,.,tie,(,0,),,,cout,.,tie,(,0,),using,namespace,std,;,typedef,pair,<,int,,,int,>,pii,;,const,int,N,=,2e5,+,10,;,set,<,int,>,st,,,q,,,a,;,void,solve,(,),{,set,<,int,>,st,,,q,,,a,;,int,n,;,cin,>>,n,;,for,(,int,i,=,1,;,i,<=,n,;,i,++,),{,int,x,;,cin,>>,x,;,st,.,insert,(,x,),;,},vector,<,int,>,v,;,for,(,auto,c,:,st,),{,v,.,push_back,(,c,),;,},int,len,=,v,.,size,(,),;,int,ans,=,1,;,for,(,int,i,=,0,;,i,<,len,-,1,;,i,++,),{,for,(,int,j,=,i,+,1,;,j,<,len,;,j,++,),{,int,s,=,v,[,j,],-,v,[,i,],+,1,;,if,(,s,<=,n,),{,a,.,insert,(,s,),;,},},int,num,=,a,.,size,(,),+,1,;,ans,=,max,(,num,,,ans,),;,a,.,clear,(,),;,},cout,<<,ans,<<,endl,;,},int,main,(,),{,IOS,;,int,T,=,1,;,cin,>>,T,;,while,(,T,--,),{,solve,(,),;,},return,0,;,}",1000,14131200
252965997,"#,include,<,bits/stdc++.h,>,using,namespace,std,;, ,typedef,long,long,ll,;, ,void,TestCases,(,),{,ll,n,,,k,;,cin,>>,n,;, ,vector,<,ll,>,a,(,n,),,,b,;,set,<,ll,>,st,;,ll,p,=,n,;,for,(,ll,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,a,[,i,],;,st,.,insert,(,a,[,i,],),;,},for,(,auto,i,:,st,),{,b,.,push_back,(,i,),;,//,}, ,ll,sum,=,0,,,mx,=,1,,,l,=,0,,,r,=,0,;,for,(,ll,i,=,0,;,i,<,b,.,size,(,),;,i,++,),{,l,=,i,;,r,=,lower_bound,(,b,.,begin,(,),,,b,.,end,(,),,,b,[,l,],+,p,),-,b,.,begin,(,),;,sum,=,r,-,l,;,mx,=,max,(,sum,,,mx,),;,},cout,<<,mx,<<,endl,;,}, ,int,main,(,),{, ,int,t,=,1,;,cin,>>,t,;,while,(,t,--,),TestCases,(,),;,return,0,;,}",451,11878400
251385908,"/*,*/,#,include,<,bits,/,stdc,++,.,h,>,using,namespace,std,;,#,define,TC,int,t,;,cin,>>,t,;,while,(,t,--,),#,define,fast,ios_base,::,sync_with_stdio,(,false,),;,cin,.,tie,(,NULL,),;,cout,.,tie,(,NULL,),#,define,ll,long,long,int,#,define,nl,',\n,',#,define,all,(,x,),(,x,),.,begin,(,),,,(,x,),.,end,(,),#,define,pb,push_back,#,define,ff,first,#,define,ss,second,#,define,debug,(,x,),cout,<<,#,x,<<,"","",<<,x,<<,nl,;,const,ll,sz,=,2e5,+,7,,,Inf,=,1e9,+,7,;, ,void,solve,(,),{,ll,n,;,cin,>>,n,;,ll,a,[,n,],;,set,<,int,>,st,;,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,a,[,i,],;,st,.,insert,(,a,[,i,],),;,},vector,<,ll,>,v,;,for,(,ll,it,:,st,),v,.,push_back,(,it,),;,ll,ans,=,0,;,for,(,int,i,=,0,;,i,<,v,.,size,(,),;,i,++,),{,ll,p,=,v,[,i,],;,auto,lb,=,lower_bound,(,v,.,begin,(,),,,v,.,end,(,),,,n,+,p,),;,ll,x,=,lb,-,v,.,begin,(,),-,i,;,ans,=,max,(,ans,,,x,),;,},cout,<<,ans,<<,endl,;, ,},int,main,(,),{,fast,;,#,ifndef,ONLINE_JUDGE,freopen,(,"",input.txt,"",,,"",r,"",,,stdin,),;,freopen,(,"",output.txt,"",,,"",w,"",,,stdout,),;,#,endif,TC,solve,(,),;,return,0,;,}",140,11878400
250807214,"#,include,<,bits/stdc++.h,>,using,namespace,std,;, , ,#,define,MAX,(,a,,,b,),a,>,b,?,a,:,b,#,define,MIN,(,a,,,b,),a,<,b,?,a,:,b,#,define,pb,push_back,#,define,send,\,{,\,ios_base,::,sync_with_stdio,(,false,),;,\,},#,define,help,\,{,\,cin,.,tie,(,NULL,),;,\,},#,define,f,first,#,define,s,secondtypedef,long,long,ll,;,typedef,long,double,lld,;,typedef,unsigned,long,long,ull,;, , ,const,ll,template_array_size,=,1e6,+,9097,;,//,//,//,ll,n,,,m,,,k,,,q,,,l,,,r,,,x,,,y,,,z,;,bool,hsh,[,1000000001,],;,void,solve,(,),{,cin,>>,n,;,vector,<,ll,>,vec,;,ll,size,=,0,;,for,(,ll,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,k,;,if,(,!,hsh,[,k,],),{,hsh,[,k,],=,1,;,vec,.,pb,(,k,),;,++,size,;,},},ll,ans,=,size,;,sort,(,vec,.,begin,(,),,,vec,.,end,(,),),;,ll,ub,=,ans,-,1,;,ll,lb,=,0,;,while,(,(,vec,[,ub,],-,vec,[,lb,],),>=,n,),{,if,(,vec,[,lb,+,1,],-,vec,[,lb,],>,vec,[,ub,],-,vec,[,ub,-,1,],),++,lb,;,else,--,ub,;,ans,=,ub,-,lb,+,1,;,},cout,<<,ans,<<,endl,;,}, ,int,main,(,),{,send,help,int,tc,;,cin,>>,tc,;,for,(,int,i,=,0,;,i,<,tc,;,i,++,),solve,(,),;,return,0,;,}",15,268390400
250468528,"#,pragma,GCC,optimize,(,"",Ofast,"",),#,pragma,GCC,optimize,(,"",unroll-loops,"",),#,include,<,iostream,>,#,include,<,algorithm,>,#,include,<,unordered_map,>,#,include,<,cstdio,>,using,namespace,std,;,#,define,ll,long,long,#,define,f,(,i,,,_,_,,,_,),for,(,ll,i,=,_,_,;,i,<=,_,;,i,++,),#,define,Y,cout,<<,"",YES,"",<<,endl,;,#,define,N,cout,<<,"",NO,"",<<,endl,;,ll,mod,=,1e9,+,7,;, ,//,unordered_map,<,ll,,,ll,>,m2,;,ll,p,=,0,,,n,=,0,,,max,=,0,,,max2,=,0,,,me,=,0,,,t,=,0,;,cin,>>,n,;, ,for,(,ll,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,p,;,m,[,p,],++,;,}, ,for,(,auto,it,:,m,),{,int,max3,=,0,;,ll,k,=,it,.,first,;,for,(,ll,i,=,0,;,i,<,n,&&,k,;,i,++,),{,if,(,m,[,k,+,i,],),{,max3,++,;,},},if,(,max2,<,max3,),{,max2,=,max3,;,},},cout,<<,max2,<<,"",\n,"",;,}, ,int,main,(,),{, ,#,ifndef,ONLINE_JUDGE,freopen,(,"",input.txt,"",,,"",r,"",,,stdin,),;,freopen,(,"",output.txt,"",,,"",w,"",,,stdout,),;,#,else,#,endif,ios_base,::,sync_with_stdio,(,false,),;,cin,.,tie,(,NULL,),;,cout,.,tie,(,NULL,),;, ,ll,t,=,1,;,cin,>>,t,;,while,(,t,--,),{,solve,(,),;,}, ,return,0,;,}",1000,19968000
252538566,"#,include,<,iostream,>,#,include,<,vector,>,#,include,<,algorithm,>,using,namespace,std,;,const,int,N,=,2e5,+,10,;,int,main,(,),{,int,t,;,cin,>>,t,;,while,(,t,--,),{,int,n,;,cin,>>,n,;,vector,<,int,>,a,;,for,(,int,i,=,0,;,i,<,n,;,i,++,),cin,>>,a,[,i,],;,sort,(,a,.,begin,(,),,,a,.,end,(,),),;,a,.,erase,(,unique,(,a,.,begin,(,),,,a,.,end,(,),),,,a,.,end,(,),),;,int,ans,=,0,;,for,(,int,i,=,0,,,j,=,0,;,i,<,a,.,size,(,),;,i,++,),{,while,(,a,[,i,],-,a,[,j,],>=,n,),j,++,;,ans,=,max,(,ans,,,i,-,j,+,1,),;,},cout,<<,ans,<<,endl,;,},return,0,;,}",0,0
252456526,"#,include,<,bits/stdc++.h,>,using,namespace,std,;, ,const,int,N,=,200005,;, ,int,m,,,n,,,i,,,j,;, ,int,main,(,),{,scanf,(,"",%d,"",,,&,m,),;,while,(,m,--,),{,scanf,(,"",%d,"",,,&,n,),;,vector,<,int,>,ve,(,n,),;,for,(,i,=,0,;,i,<,n,;,i,++,),{,scanf,(,"",%d,"",,,&,ve,[,i,],),;,},sort,(,ve,.,begin,(,),,,ve,.,end,(,),),;,ve,.,resize,(,unique,(,ve,.,begin,(,),,,ve,.,end,(,),),-,ve,.,begin,(,),),;,int,x,=,ve,.,size,(,),;,int,ans,=,1,;,int,j,=,0,;,for,(,i,=,0,;,i,<,x,;,i,++,),{,j,=,i,;,while,(,ve,[,j,],-,ve,[,i,],<,n,),{,j,++,;,if,(,j,>,x,-,1,),break,;,},int,sum,=,j,-,i,;,ans,=,max,(,ans,,,sum,),;,},printf,(,"",%d\n,"",,,ans,),;,},return,0,;,}",1000,819200
253117507,"#,include,<,bits/stdc++.h,>,using,namespace,std,;,#,define,ll,long,long,#,define,f,(,a,,,b,,,c,),for,(,int,a,=,b,;,a,<,c,;,a,++,),#,define,fr,(,i,,,a,,,b,),for,(,ll,i,=,a,;,i,>=,b,;,i,--,),int,main,(,),{,ios_base,::,sync_with_stdio,(,false,),;,cin,.,tie,(,0,),;,int,t,;,cin,>>,t,;,while,(,t,--,),{,int,n,,,cnt,=,1,,,ans,=,1,;,cin,>>,n,;,map,<,ll,,,ll,>,mp,;,ll,k,=,0,,,b,=,0,;,vector,<,ll,>,v,;,f,(,i,,,0,,,n,),{,ll,x,;,cin,>>,x,;,mp,[,x,],++,;,},for,(,auto,&,t,:,mp,),{,v,.,emplace,(,v,.,begin,(,),,,t,.,first,),;,},f,(,i,,,0,,,v,.,size,(,),-,1,),{,k,+=,v,[,i,],-,v,[,i,+,1,],;,b,=,v,[,i,],-,v,[,i,+,1,],;,cnt,++,;,if,(,k,>=,n,),{,k,=,b,;,if,(,k,>=,n,),cnt,=,1,;,else,cnt,=,2,;,},ans,=,max,(,ans,,,cnt,),;,},cout,<<,ans,<<,"",\n,"",;,},return,0,;,}",1000,9318400
