id,contest_id,author,creation_time_seconds,relative_time_seconds,problem_name,problem_type,programming_language,verdict,test_set,passed_test_count,time_consumed_millis,memory_consumed_bytes
254846853,1928,utpal_busa,1712150554,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,374,4710400
254837541,1928,Ash1321,1712146278,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,437,8499200
254827119,1928,Open_ideas,1712140935,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,93,102400
254827105,1928,Lonelyper,1712140927,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,389,0
254826277,1928,Open_ideas,1712140442,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,93,0
254824489,1928,Lonelyper,1712139516,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,374,0
254823639,1928,kameraden,1712139075,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,250,6963200
254823129,1928,kameraden,1712138823,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,234,6963200
254817302,1928,-01,1712135886,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,374,1638400
254806435,1928,lsrael,1712129972,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,374,0
254805562,1928,lsrael,1712129479,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,102400
254804288,1928,devil_bhai,1712128695,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,171,5120000
254799838,1928,devil_bhai,1712126062,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,0,1000,0
254797490,1928,aabanakhtar.home,1712124623,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,3,1000,0
254795604,1928,aabanakhtar.home,1712123186,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,0
254769834,1928,ahmedchakroun789,1712093110,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,327,1331200
254769657,1928,ahmedchakroun789,1712092952,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1331200
254766839,1928,archie_18,1712090538,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,109,102400
254765283,1928,archie_18,1712089334,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,5222400
254740845,1928,GaoDe,1712075025,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,468,4096000
254735262,1928,GaoDe,1712072421,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,406,3891200
254735123,1928,GaoDe,1712072350,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,374,3993600
254714320,1928,arman_01,1712063525,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,405,4710400
254708086,1928,arman_01,1712060909,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,102400
254702170,1928,luogu_bot2,1712058328,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,93,1638400
254702037,1928,luogu_bot3,1712058270,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,93,1638400
254663262,1928,yuxueqi,1712037025,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,108,1638400
