id,tokens,time_consumed_millis,memory_consumed_bytes
246384217,"#,include,<,bits/stdc++.h,>,#,include,<,ext/pb_ds/assoc_container.hpp,>,#,include,<,ext/pb_ds/tree_policy.hpp,>, ,using,namespace,std,;,using,namespace,_,_,gnu_pbds,;, ,#,define,int,long,long,#,define,sz,(,x,),(,int,),(,x,.,size,(,),),#,define,all,(,x,),(,x,),.,begin,(,),,,(,x,),.,end,(,),#,define,rall,(,x,),(,x,),.,rbegin,(,),,,(,x,),.,rend,(,),#,define,uniq,(,v,),(,v,),.,erase,(,unique,(,all,(,v,),),,,(,v,),.,end,(,),),//,int,mod,=,1e9,+,7,;, ,typedef,pair,<,int,,,int,>,ii,;,typedef,tree,<,int,,,null_type,,,less,<,int,>,,,rb_tree_tag,,,tree_order_statistics_node_update,>,pbds,;,#,define,keyOrder,(,x,,,key,),(,int,),(,x,),.,or,der_of_key,(,key,),//,while,(,b,>,0,),{,if,(,b,&,1,),ans,=,(,ans,*,a,),%,mod,;,a,=,(,a,*,a,),%,mod,;,b,>>=,1,;,},return,ans,;,}, ,//,cin,>>,n,;, ,vector,<,int,>,a,(,n,),;,for,(,int,i,=,0,;,i,<,n,;,i,++,),cin,>>,a,[,i,],;, ,sort,(,all,(,a,),),;,uniq,(,a,),;,//,for,(,int,i,=,0,;,i,<,sz,(,a,),;,i,++,),{,//,//,}, ,cout,<<,maxi,<<,endl,;,}, ,int32_t,main,(,),{,ios_base,::,sync_with_stdio,(,false,),;,int,t,;,cin,>>,t,;,while,(,t,--,),{,solve,(,),;,},}",93,1638400
252702454,"#,include,<,bits/stdc++.h,>,using,namespace,std,;,typedef,long,long,ll,;,const,int,N,=,2,*,1e5,+,10,;,int,t,,,n,;, ,ll,a,[,N,],;,int,pre,[,N,],;,void,solve,(,),{,cin,>>,n,;,set,<,int,>,s,;,for,(,int,i,=,1,;,i,<=,n,;,i,++,),{,cin,>>,a,[,i,],;,s,.,insert,(,a,[,i,],),;,},int,i,=,1,;,while,(,!,s,.,empty,(,),),{,int,k,=,*,(,s,.,begin,(,),),;,a,[,i,++,],=,k,;,s,.,erase,(,k,),;,},i,--,;,int,l,,,r,;,l,=,r,=,1,;,int,ma,=,0,;,for,(,;,l,<=,i,;,l,++,),{,while,(,a,[,r,],-,a,[,l,],<,n,&&,r,<=,i,),{,r,++,;,},pre,[,l,],=,r,-,l,;,ma,=,max,(,ma,,,pre,[,l,],),;,},cout,<<,ma,<<,',\n,',;,}, ,int,main,(,),{,ios,::,sync_with_stdio,(,false,),;,cin,.,tie,(,0,),;,cout,.,tie,(,0,),;,cin,>>,t,;,while,(,t,--,),{,solve,(,),;,},return,0,;,}",140,9011200
245838736,"#,include,<,bits/stdc++.h,>,#,define,int,long,long,using,namespace,std,;, ,int32_t,main,(,),{,int,t,;,cin,>>,t,;,while,(,t,--,),{,int,n,;,cin,>>,n,;,int,a,[,n,],;,set,<,int,>,st,;,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,a,[,i,],;,st,.,insert,(,a,[,i,],),;,},vector,<,int,>,v,;,for,(,auto,it,:,st,),{,v,.,push_back,(,it,),;,},int,ans,=,0,;,for,(,int,i,=,0,;,i,<,v,.,size,(,),;,i,++,),{,int,last,=,v,[,i,],+,n,-,1,;,int,ind,=,upper_bound,(,v,.,begin,(,),,,v,.,end,(,),,,last,),-,v,.,begin,(,),-,i,;,ans,=,max,(,ans,,,ind,),;,},cout,<<,ans,<<,endl,;,},}",421,11878400
245963054,"//,const,int,N,=,2e5,+,5,;,int,n,,,m,,,a,[,N,],;,int,solve,(,),{,scanf,(,"",%d,"",,,&,n,),;,for,(,int,i,=,1,;,i,<=,n,;,i,++,),{,scanf,(,"",%d,"",,,&,a,[,i,],),;,},sort,(,a,+,1,,,a,+,n,+,1,),;,m,=,unique,(,a,+,1,,,a,+,n,+,1,),-,a,-,1,;,int,p,=,0,,,res,=,0,;,for,(,int,i,=,1,;,i,<=,m,;,i,++,),{,while,(,p,<,m,&&,a,[,p,+,1,],-,a,[,i,],<,n,),{,++,p,;,},res,=,max,(,res,,,p,-,i,+,1,),;,},for,(,int,i,=,1,;,i,<=,n,;,i,++,),{,a,[,i,],=,0,;,},return,res,;,},int,main,(,),{,int,T,;,scanf,(,"",%d,"",,,&,T,),;,while,(,T,--,),{,printf,(,"",%d\n,"",,,solve,(,),),;,},return,0,;,}",171,819200
248433570,"#,include,<,bits/stdc++.h,>,using,namespace,std,;, ,#,define,int,long,long,#,define,endl,',\n,', ,typedef,_,_,int128_t,int128,;,typedef,pair,<,int,,,int,>,PII,;,typedef,pair,<,int,,,pair,<,int,,,int,>>,PIII,;,const,int,N,=,2e5,+,10,,,M,=,N,*,2,,,P,=,63,,,INF,=,2e18,,,mod,=,1e9,+,7,;, ,int,n,;, ,void,solve,(,),{,vector,<,int,>,a,;,cin,>>,n,;,for,(,int,i,=,1,;,i,<=,n,;,i,++,),{,int,x,;,cin,>>,x,;,a,.,push_back,(,x,),;,},sort,(,a,.,begin,(,),,,a,.,end,(,),),;,a,.,erase,(,unique,(,a,.,begin,(,),,,a,.,end,(,),),,,a,.,end,(,),),;,int,len,=,a,.,size,(,),,,res,=,0,;,for,(,int,i,=,0,,,j,=,0,;,i,<,len,;,i,++,),{,while,(,j,<,len,&&,a,[,j,],-,a,[,i,],<,n,),j,++,;,res,=,max,(,res,,,j,-,i,),;,}, ,cout,<<,res,<<,endl,;,}, ,signed,main,(,),{,cin,.,tie,(,0,),;,ios,::,sync_with_stdio,(,false,),;, ,int,T,=,1,;,cin,>>,T,;, ,while,(,T,--,),{,solve,(,),;,},return,0,;,}",46,4198400
245821273,"#,include,<,iostream,>,#,include,<,vector,>,#,include,<,set,>,#,include,<,algorithm,>, ,using,namespace,std,;, ,#,define,int,long,long int32_t,main,(,),{,ios_base,::,sync_with_stdio,(,false,),;,cin,.,tie,(,NULL,),;,cout,.,tie,(,NULL,),;,int,t,;,cin,>>,t,;,while,(,t,--,),{,int,n,;,cin,>>,n,;,vector,<,int,>,v,(,n,),;,set,<,int,>,se,;, ,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,v,[,i,],;,se,.,insert,(,v,[,i,],),;,},vector,<,int,>,l,;,for,(,auto,x,:,se,),{,l,.,push_back,(,x,),;,},int,k,=,n,;,n,=,l,.,size,(,),;,int,ans,=,1,;, ,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,int,en,=,l,[,i,],+,k,-,1,;,auto,it,=,upper_bound,(,l,.,begin,(,),,,l,.,end,(,),,,en,),-,l,.,begin,(,),-,i,;,ans,=,max,(,ans,,,static_cast,<,int,>,(,it,),),;,},cout,<<,ans,<<,endl,;,},return,0,;,}",171,15564800
245837411,"#,include,<,iostream,>,#,include,<,vector,>,#,include,<,set,>,#,include,<,algorithm,>, ,using,namespace,std,;, ,int,main,(,),{,ios_base,::,sync_with_stdio,(,false,),;,cin,.,tie,(,NULL,),;,cout,.,tie,(,NULL,),;,cin,.,exceptions,(,ios,::,badbit,|,ios,::,failbit,),;, ,long,long,test_cases,;,cin,>>,test_cases,;, ,while,(,test_cases,--,),{,long,long,num_elements,;,cin,>>,num_elements,;, ,set,<,long,long,>,elements_set,;, ,for,(,long,long,i,=,0,;,i,<,num_elements,;,i,++,),{,long,long,temp,;,cin,>>,temp,;,elements_set,.,insert,(,temp,),;,},vector,<,long,long,>,elements_vector,(,elements_set,.,begin,(,),,,elements_set,.,end,(,),),;, ,long,long,answer,=,1,;,for,(,long,long,i,=,0,;,i,<,elements_vector,.,size,(,),;,i,++,),{,long,long,upper_bound_index,=,upper_bound,(,elements_vector,.,begin,(,),,,elements_vector,.,end,(,),,,elements_vector,[,i,],+,num_elements,-,1,),-,elements_vector,.,begin,(,),;,answer,=,max,(,answer,,,upper_bound_index,-,i,),;,},cout,<<,answer,<<,endl,;,},return,0,;,}",140,11264000
245963901,"#,include,<,bits/stdc++.h,>,#,include,<,ext/pb_ds/tree_policy.hpp,>,using,namespace,std,;,#,define,int,long,long,#,define,v64,vector,<,int,>,#,define,vp64,vector,<,pair,<,int,,,int,>>,#,define,p64,pair,<,int,,,int,>,#,define,forn,(,i,,,a,,,b,),for,(,int,i,=,a,;,i,<,b,;,i,++,),#,define,pqmin,priority_queue,<,int,,,vector,<,int,>,,,greater,<,int,>>,#,define,pqmax,priority_queue,<,int,>,#,define,um,unordered_map,<,int,,,int,>,#,define,us,unordered_set,<,int,>,#,define,pb,push_back,#,define,ln,"",\n,"",#,define,yy,cout,<<,"",Yes,"",<<,ln,#,define,nn,cout,<<,"",No,"",<<,ln,#,define,pi,3.14159265358979323846,#,define,rsz,resizeconst,int,mod,=,1e9,+,7,;,#,define,dbg,cout,<<,"",debug,"",<<,ln,;,void,solve,(,),{,}, ,signed,main,(,),{,ios_base,::,sync_with_stdio,(,false,),;,cin,.,tie,(,NULL,),;,//,//,//,//,int,t,=,1,;,cin,>>,t,;,while,(,t,--,),{,//,int,n,;,cin,>>,n,;,vector,<,int,>,temp,(,n,),;,for,(,int,i,=,0,;,i,<,n,;,i,++,),cin,>>,temp,[,i,],;,vector,<,int,>,distinct,(,n,,,1,),;,set,<,int,>,st,;,sort,(,temp,.,begin,(,),,,temp,.,end,(,),),;,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,st,.,insert,(,temp,[,i,],),;,distinct,[,i,],=,st,.,size,(,),;,},int,result,=,INT_MIN,;,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,int,curr,=,temp,[,i,],;,int,check,=,curr,+,n,-,1,;,int,ind,=,upper_bound,(,temp,.,begin,(,),,,temp,.,end,(,),,,check,),-,temp,.,begin,(,),;,if,(,ind,!=,0,),{,result,=,max,(,result,,,distinct,[,ind,-,1,],-,distinct,[,i,],+,1,),;,},},cout,<<,result,<<,endl,;,},return,0,;,}",140,9830400
245818419,"#,include,<,bits/stdc++.h,>,using,namespace,std,;,#,define,Forn,(,i,,,a,,,n,),for,(,int,i,=,a,;,i,<,n,;,i,++,),#,define,Fors,(,i,,,s,),for,(,int,i,=,0,;,i,<,s,.,size,(,),;,i,++,),#,define,fmap,(,it,,,mp,),for,(,auto,it,=,mp,.,begin,(,),;,it,!=,mp,.,end,(,),;,it,++,),#,define,all,(,v,),v,.,begin,(,),,,v,.,end,(,),#,define,End,return,0,#,define,ff,first,#,define,ss,second,#,define,gcd,(,a,,,b,),_,_,gcd,(,a,,,b,),#,define,lcm,(,a,,,b,),(,a,*,(,b,/,_,_,gcd,(,a,,,b,),),),#,define,gt,greater,<,int,>,(,),#,define,pb,push_back,#,define,vi,vector,<,int,>,#,define,mod,1000000007,#,define,done,return,#,define,Erase,(,s,),s,.,erase,(,unique,(,s,.,begin,(,),,,s,.,end,(,),),,,s,.,end,(,),),//,mp,.,rbegin,(,),->,first,;,mp,.,erase,(,val,),;,//,v,.,erase,(,v,.,begin,(,),),;,//,v,.,push_back,(,{,a,[,i,],,,b,[,i,],},),;,cout,<<,v,[,i,],.,first,<<,"","",<<,v,[,i,],.,second,<<,endl,;,//,pq,.,push,(,a,[,i,],),;,pq,.,top,(,),;,pq,.,pop,(,),//,ans,+=,it,.,ss,-,it,.,ff,;,#,define,Max,(,a,),*,max_element,(,a,,,a,+,sizeof,(,a,),/,sizeof,(,a,[,0,],),),#,define,Min,(,a,),*,min_element,(,a,,,a,+,sizeof,(,a,),/,sizeof,(,a,[,0,],),),#,define,vprint,(,v,),{,for,(,int,i,=,0,;,i,<,v,.,size,(,),;,i,++,),cout,<<,v,[,i,],<<,"","",;,cout,<<,endl,;,},#,define,arprint,(,a,,,n,),{,for,(,int,i,=,0,;,i,<,n,;,i,++,),cout,<<,a,[,i,],<<,"","",;,cout,<<,endl,;,},#,define,vpprint,(,vp,),{,Fors,(,i,,,vp,),{,cout,<<,vp,[,i,],.,ff,<<,"","",<<,vp,[,i,],.,ss,<<,endl,;,},},#,define,mpprint,(,mp,),for,(,auto,it,:,mp,),{,cout,<<,it,.,ff,<<,"","",<<,it,.,ss,<<,endl,;,},#,define,upper,(,v,,,val,),upper_bound,(,v,.,begin,(,),,,v,.,end,(,),,,val,),-,v,.,begin,(,),#,define,lower,(,v,,,val,),lower_bound,(,v,.,begin,(,),,,v,.,end,(,),,,val,),-,v,.,begin,(,),int,isprime,(,int,n,),{,if,(,n,<=,1,),return,false,;,if,(,n,<=,3,),return,true,;, ,if,(,n,%,2,==,0,||,n,%,3,==,0,),return,false,;,for,(,int,i,=,5,;,i,*,i,<=,n,;,i,+=,6,),{,if,(,n,%,i,==,0,||,n,%,(,i,+,2,),==,0,),return,false,;,},return,true,;,},string,bin,(,int,n,),{,string,s,=,"","",;,while,(,n,),{,int,x,=,n,%,2,;,s,+=,(,x,+,',0,',),;,n,/,=,2,;,},reverse,(,s,.,begin,(,),,,s,.,end,(,),),;,return,s,;,},//,for,(,int,i,=,2,;,i,*,i,<=,n,;,i,++,),{,if,(,n,%,i,==,0,),return,false,;,},return,true,;,},int,fact,(,int,n,),{,if,(,n,==,1,),return,1,;,return,n,*,fact,(,n,-,1,),;,},#,define,yes,cout,<<,"",Yes,"",<<,endl,#,define,no,cout,<<,"",No,"",<<,endl,#,define,Yes,cout,<<,"",YES,"",<<,endl,#,define,No,cout,<<,"",NO,"",<<,endlconst,int,Mx,=,2e5,+,35,;,#,define,int,long,long,intint,Ceil,(,int,a,,,int,b,),{,return,a,%,b,==,0,?,a,/,b,:,a,/,b,+,1,;,},int,sum,(,int,n,),{,int,sm,=,0,;,while,(,n,>,0,),{,sm,+=,n,%,10,;,n,/,=,10,;,},return,sm,;,},long,long,Int,(,string,s,),{,long,long,sm,=,0,;,for,(,int,i,=,0,;,i,<,s,.,size,(,),;,i,++,),{,sm,=,(,sm,*,10,),+,(,s,[,i,],-,',0,',),;,},return,sm,;,},bool,ok,(,int,x,,,int,y,,,int,n,,,int,m,),{,if,(,x,==,1,and,y,==,1,or,x,==,1,and,y,==,m,or,x,==,n,and,y,==,1,or,x,==,n,and,y,==,m,),return,true,;,else,return,false,;,},bool,ok1,(,int,x,,,int,y,,,int,n,,,int,m,),{,if,(,x,==,1,or,y,==,1,or,x,==,n,or,y,==,m,),return,true,;,else,return,false,;,},bool,cmp,(,const,pair,<,int,,,int,>,&,a,,,const,pair,<,int,,,int,>,&,b,),{,if,(,a,.,ff,==,b,.,ff,),return,a,.,ss,<,b,.,ss,;,else,return,a,.,ff,>,b,.,ff,;,},bool,ispal,(,string,s,),{,int,i,=,0,,,j,=,s,.,size,(,),-,1,;,while,(,i,<,j,),{,if,(,s,[,i,],!=,s,[,j,],),return,false,;,i,++,;,j,--,;,},return,true,;,},int,Function,(,vector,<,int,>,&,a,,,int,x,),{,int,l,=,0,,,r,=,a,.,size,(,),-,1,,,ind,=,-,1,;,while,(,l,<=,r,),{,int,mid,=,(,l,+,r,),/,2,;,if,(,a,[,mid,],<,x,),{,ind,=,mid,;,l,=,mid,+,1,;,},else,r,=,mid,-,1,;,},return,ind,;,},void,solve,(,),{,vector,<,pair,<,int,,,int,>>,vp,;,vector,<,int,>,v,,,v1,,,v2,;,map,<,char,,,int,>,mp,,,mm,;,string,s,=,"","",,,t,=,"","",;,int,n,,,m,,,sm,=,0,,,sm1,=,0,,,c,=,0,,,c1,=,0,,,ans,=,0,,,mx,=,0,,,mi,=,INT_MAX,;,cin,>>,n,;,vi,a,(,n,),;,Forn,(,i,,,0,,,n,),cin,>>,a,[,i,],;,sort,(,all,(,a,),),;,Erase,(,a,),;,ans,=,1,;,for,(,int,i,=,0,;,i,<,a,.,size,(,),;,i,++,),{,int,x,=,Function,(,a,,,a,[,i,],+,n,),;,//,if,(,x,>=,0,),ans,=,max,(,ans,,,(,x,-,i,),+,1,),;,},cout,<<,ans,<<,endl,;,},signed,main,(,),{,int,T,=,1,;,cin,>>,T,;,while,(,T,--,),{,solve,(,),;,},}",358,1638400
245819707,"#,include,<,bits/stdc++.h,>,using,namespace,std,;,#,define,endl,',\n,',int,main,(,),{,ios_base,::,sync_with_stdio,(,0,),;,cin,.,tie,(,0,),;,int,t,;,cin,>>,t,;,while,(,t,--,),{,int,n,;,cin,>>,n,;,vector,<,long,long,>,a,(,n,,,0,),;,set,<,long,long,>,st,;,for,(,int,i,=,0,;,i,<,n,;,i,++,),{,cin,>>,a,[,i,],;,st,.,insert,(,a,[,i,],),;,},vector,<,long,long,>,b,;,for,(,auto,x,:,st,),{,b,.,push_back,(,x,),;,//,},long,long,tmp,=,0,;,long,long,ans,=,0,;,int,sz,=,b,.,size,(,),;,for,(,int,i,=,0,;,i,<,sz,;,i,++,),{,tmp,=,b,[,i,],+,n,;,long,long,id,=,lower_bound,(,b,.,begin,(,),,,b,.,end,(,),,,tmp,),-,b,.,begin,(,),;,//,ans,=,max,(,ans,,,id,-,i,),;,},//,cout,<<,ans,<<,endl,;, , , ,},return,0,;,}",140,11878400
